281929,i-000345dd022b5e2f2,t3a.2xlarge,running,platform-magento-prod-aed2,eu-west-1a,20-10-2021 09:08,linux,ami-02cc56108e1657c1e,gce-magento-prod,10.220.106.138,magento-prod,TRUE,privatesubnet:1:eu-west-1:subnet-02b7abbf533bf8d53:,TN.NEXTGEN.PROD
510349,i-00084122d3b12eeed,m5a.large,running,ECS Instance - EC2ContainerService-rbs-travel-prod-cluster,eu-west-1b,22-04-2022 04:53,linux,ami-03bb0fafe9444967c,rbs-ecs-prod,10.220.113.178,ecsInstanceRole,TRUE,privatesubnet:1:eu-west-1:subnet-bd7dfae6:,TN.NEXTGEN.PROD
436264,i-0014966007bdea0b8,t2.small,stopped,Encrypted-Magento-AMI,eu-west-1b,26-04-2022 05:41,linux,ami-0871114d79b2f4a88,gce-magento-prod,10.220.105.84,magento-prod,FALSE,privatesubnet:1:eu-west-1:subnet-0897f8d16510b9c69:,TN.NEXTGEN.PROD
9458,i-001631141027cc2f2,m5a.8xlarge,stopped,Hadoop-prd-informatica-90,eu-west-1b,25-02-2020 15:16,linux,ami-0202869bdd0fc8c75,informatica,10.220.105.90,mem-metric-ssm-ec2-role,FALSE,privatesubnet:1:eu-west-1:subnet-0897f8d16510b9c69:,TN.NEXTGEN.PROD
249659,i-00180d91e577a9634,t2.medium,running, 2LS-team-bastion-server-2,eu-west-1b,22-09-2021 08:28,windows,ami-03ee83e0dd0a3f9ac,2ls-bastion-server-key-pair,10.220.105.183,2ls-bastian-server-role,FALSE,privatesubnet:1:eu-west-1:subnet-0897f8d16510b9c69:,TN.NEXTGEN.PROD
9450,i-003f9af51a978c6a5,m5a.xlarge,running,metadata-sandbox-informatica,eu-west-1a,06-04-2022 00:41,linux,ami-0202869bdd0fc8c75,informatica,10.220.106.47,informatica-role,FALSE,privatesubnet:1:eu-west-1:subnet-02b7abbf533bf8d53:,TN.NEXTGEN.PROD
281689,i-00808071b65f0daeb,t2.2xlarge,running,RBS-Data-Migration-SI,eu-west-1a,28-06-2022 03:58,linux,ami-06975f0432f3f957b,rbs-data-migration,10.220.113.15,mem-metric-ssm-ec2-role,FALSE,privatesubnet:1:eu-west-1:subnet-57561b1e:,TN.NEXTGEN.PROD
9468,i-008d16e1647407c54,m5a.2xlarge,stopped,axon-prd-informatica,eu-west-1b,25-02-2020 15:16,linux,ami-0202869bdd0fc8c75,informatica,10.220.105.27,mem-metric-ssm-ec2-role,FALSE,privatesubnet:1:eu-west-1:subnet-0897f8d16510b9c69:,TN.NEXTGEN.PROD
104,i-009215cb32ef2b075,c4.4xlarge,running,PrestoDB-5,eu-west-1a,06-12-2019 19:45,linux,ami-061b509b3c90d195c,presto-db-prod,10.220.113.123,mem-metric-ssm-ec2-role,FALSE,privatesubnet:1:eu-west-1:subnet-57561b1e:,TN.NEXTGEN.PROD
938778,i-00bc15d4609de46ce,t2.micro,running,Vodafone Zendesk Bastion,eu-west-1a,11-08-2022 09:54,windows,ami-0d933da0af99b8d7c,,10.220.113.79,ec2-ssm-role,FALSE,privatesubnet:1:eu-west-1:subnet-57561b1e:,TN.NEXTGEN.PROD
